,Image Name,Actual Value,Predicted value,Accuracy,Confidence,Time Taken,Model Name
0,PublicTest_65825726.jpg,Angry,Happy,False Positive,26.75,0.1901688575744629,Model 23
1,PublicTest_29353330.jpg,Angry,Happy,False Positive,45.76,0.029790639877319336,Model 23
2,PrivateTest_42247290.jpg,Angry,Happy,False Positive,67.69,0.024761199951171875,Model 23
3,PrivateTest_94592259.jpg,Angry,Happy,False Positive,36.47,0.023601293563842773,Model 23
4,PrivateTest_46956721.jpg,Angry,Happy,False Positive,33.44,0.024499893188476562,Model 23
5,PublicTest_33298870.jpg,Angry,Happy,False Positive,33.07,0.02424168586730957,Model 23
6,PrivateTest_58466317.jpg,Angry,Sad,False Positive,28.78,0.02439141273498535,Model 23
7,PublicTest_79109976.jpg,Angry,Happy,False Positive,51.71,0.025550365447998047,Model 23
8,PrivateTest_45026818.jpg,Angry,Happy,False Positive,55.76,0.024941444396972656,Model 23
9,PrivateTest_66535975.jpg,Angry,Sad,False Positive,26.02,0.029879093170166016,Model 23
10,PublicTest_3168890.jpg,Angry,Happy,False Positive,34.49,0.04289436340332031,Model 23
11,PublicTest_51099854.jpg,Angry,Happy,False Positive,24.98,0.02982330322265625,Model 23
12,PublicTest_83372303.jpg,Angry,Happy,False Positive,37.76,0.02504587173461914,Model 23
13,PrivateTest_41308674.jpg,Angry,Happy,False Positive,26.49,0.0246737003326416,Model 23
14,PublicTest_7905606.jpg,Angry,Happy,False Positive,27.8,0.02479839324951172,Model 23
15,PublicTest_48512363.jpg,Angry,Happy,False Positive,51.98,0.024718761444091797,Model 23
16,PrivateTest_54106900.jpg,Angry,Happy,False Positive,35.75,0.0314335823059082,Model 23
17,PrivateTest_73408654.jpg,Angry,Sad,False Positive,30.03,0.0305941104888916,Model 23
18,PublicTest_97566169.jpg,Angry,Happy,False Positive,23.46,0.02929091453552246,Model 23
19,PublicTest_6510637.jpg,Angry,Surprise,False Positive,60.93,0.028348445892333984,Model 23
20,PublicTest_37985095.jpg,Angry,Happy,False Positive,53.44,0.02935004234313965,Model 23
21,PrivateTest_56303739.jpg,Angry,Surprise,False Positive,37.85,0.027016401290893555,Model 23
22,PublicTest_97580990.jpg,Angry,Happy,False Positive,28.78,0.02669811248779297,Model 23
23,PrivateTest_14494003.jpg,Angry,Happy,False Positive,63.65,0.028827667236328125,Model 23
24,PublicTest_30767380.jpg,Angry,Happy,False Positive,37.18,0.028361082077026367,Model 23
25,PrivateTest_81957564.jpg,Angry,Fear,False Positive,21.6,0.024643659591674805,Model 23
26,PrivateTest_731447.jpg,Angry,Angry,True Positve,27.34,0.023967742919921875,Model 23
27,PublicTest_30869042.jpg,Angry,Happy,False Positive,29.89,0.024125099182128906,Model 23
28,PublicTest_6385751.jpg,Angry,Happy,False Positive,30.44,0.024204254150390625,Model 23
29,PublicTest_52706232.jpg,Angry,Fear,False Positive,23.13,0.024017810821533203,Model 23
30,PublicTest_47997171.jpg,Angry,Happy,False Positive,41.78,0.027205705642700195,Model 23
31,PrivateTest_31352702.jpg,Angry,Sad,False Positive,30.5,0.10979890823364258,Model 23
32,PrivateTest_23120934.jpg,Angry,Surprise,False Positive,44.17,0.02416825294494629,Model 23
33,PublicTest_18509921.jpg,Angry,Happy,False Positive,29.59,0.024536609649658203,Model 23
34,PublicTest_1373732.jpg,Angry,Happy,False Positive,24.52,0.0245361328125,Model 23
35,PublicTest_77172367.jpg,Angry,Angry,True Positve,39.53,0.023935317993164062,Model 23
36,PublicTest_73301522.jpg,Angry,Angry,True Positve,23.62,0.02827143669128418,Model 23
37,PublicTest_9227570.jpg,Angry,Happy,False Positive,48.76,0.02596592903137207,Model 23
38,PrivateTest_37769125.jpg,Angry,Happy,False Positive,25.98,0.02498912811279297,Model 23
39,PublicTest_62838727.jpg,Angry,Happy,False Positive,31.19,0.02419590950012207,Model 23
40,PublicTest_48428562.jpg,Angry,Surprise,False Positive,60.72,0.023792505264282227,Model 23
41,PrivateTest_73170949.jpg,Angry,Happy,False Positive,40.4,0.027359724044799805,Model 23
42,PublicTest_43169549.jpg,Angry,Sad,False Positive,28.51,0.024365901947021484,Model 23
43,PublicTest_99607072.jpg,Angry,Sad,False Positive,27.14,0.02643895149230957,Model 23
44,PrivateTest_1054527.jpg,Angry,Sad,False Positive,33.93,0.02885127067565918,Model 23
45,PublicTest_91350708.jpg,Angry,Sad,False Positive,23.06,0.029546737670898438,Model 23
46,PrivateTest_62338980.jpg,Angry,Happy,False Positive,25.98,0.026210784912109375,Model 23
47,PublicTest_22423869.jpg,Angry,Surprise,False Positive,89.87,0.02487039566040039,Model 23
48,PublicTest_63906265.jpg,Angry,Sad,False Positive,27.23,0.024730443954467773,Model 23
49,PrivateTest_19212977.jpg,Angry,Sad,False Positive,27.46,0.024149179458618164,Model 23
50,PublicTest_90347378.jpg,Angry,Happy,False Positive,71.43,0.024121761322021484,Model 23
51,PrivateTest_62257937.jpg,Angry,Happy,False Positive,31.18,0.02919149398803711,Model 23
52,PrivateTest_88609358.jpg,Angry,Happy,False Positive,42.11,0.0323488712310791,Model 23
53,PrivateTest_49383844.jpg,Angry,Happy,False Positive,32.01,0.03302931785583496,Model 23
54,PublicTest_38165746.jpg,Angry,Happy,False Positive,33.98,0.028945446014404297,Model 23
55,PrivateTest_77773648.jpg,Angry,Fear,False Positive,34.72,0.025594711303710938,Model 23
